ModelNumber;Timestamp;NumEpochs;ValAccuracy;NumParams;NumFiltersPerLayer;DenseLayerSize;LearningRate;DropoutRate;PoolingType;FilterSize;PaddingType;ActivationFunction;Regularization;OptimizationAlgorithm
1;2021-02-03 08:24:59;6;0.07692307978868484;1993;(4, 4, 4, 4); 4; 0.01; 0.05; max; 3; same; relu; l2; adam
2;2021-02-03 08:26:01;6;0.07692307978868484;1993;(4, 4, 4, 4); 4; 0.01; 0.1; max; 3; same; relu; l2; adam
3;2021-02-03 08:34:38;6;0.07692307978868484;1993;(4, 4, 4, 4); 4; 0.01; 0.2; max; 3; same; relu; l2; adam
4;2021-02-03 08:35:40;6;0.07692307978868484;1993;(4, 4, 4, 4); 4; 0.01; 0.5; max; 3; same; relu; l2; adam
5;2021-02-03 08:37:03;8;0.2676442265510559;1993;(4, 4, 4, 4); 4; 0.005; 0.05; max; 3; same; relu; l2; adam
6;2021-02-03 08:55:17;12;0.15014423429965973;1993;(4, 4, 4, 4); 4; 0.005; 0.1; max; 3; same; relu; l2; adam
7;2021-02-03 09:05:26;6;0.07692307978868484;1993;(4, 4, 4, 4); 4; 0.005; 0.2; max; 3; same; relu; l2; adam
8;2021-02-03 09:06:29;6;0.07692307978868484;1993;(4, 4, 4, 4); 4; 0.005; 0.5; max; 3; same; relu; l2; adam
9;2021-02-03 11:08:21;6;0.2360096126794815;1993;(4, 4, 4, 4); 4; 0.001; 0.05; max; 3; same; relu; l2; adam
10;2021-02-03 12:25:29;6;0.22245192527770996;1993;(4, 4, 4, 4); 4; 0.001; 0.1; max; 3; same; relu; l2; adam
11;2021-02-03 12:26:44;7;0.21245191991329193;1993;(4, 4, 4, 4); 4; 0.001; 0.2; max; 3; same; relu; l2; adam
12;2021-02-03 12:28:48;12;0.15495193004608154;1993;(4, 4, 4, 4); 4; 0.001; 0.5; max; 3; same; relu; l2; adam
13;2021-02-03 12:30:10;8;0.2548076808452606;1993;(4, 4, 4, 4); 4; 0.0005; 0.05; max; 3; same; relu; l2; adam
14;2021-02-03 13:57:03;7;0.21067307889461517;1993;(4, 4, 4, 4); 4; 0.0005; 0.1; max; 3; same; relu; l2; adam
15;2021-02-03 13:58:56;11;0.17745192348957062;1993;(4, 4, 4, 4); 4; 0.0005; 0.2; max; 3; same; relu; l2; adam
16;2021-02-03 15:42:37;6;0.1584615409374237;1993;(4, 4, 4, 4); 4; 0.0005; 0.5; max; 3; same; relu; l2; adam
17;2021-02-03 15:45:53;16;0.2966826856136322;1993;(4, 4, 4, 4); 4; 0.0001; 0.05; max; 3; same; relu; l2; adam
18;2021-02-03 15:47:05;7;0.20624999701976776;1993;(4, 4, 4, 4); 4; 0.0001; 0.1; max; 3; same; relu; l2; adam
19;2021-02-03 15:48:18;7;0.20538461208343506;1993;(4, 4, 4, 4); 4; 0.0001; 0.2; max; 3; same; relu; l2; adam
20;2021-02-03 15:49:19;6;0.17057693004608154;1993;(4, 4, 4, 4); 4; 0.0001; 0.5; max; 3; same; relu; l2; adam
21;2021-02-03 15:50:56;6;0.07692307978868484;7717;(8, 8, 8, 8); 8; 0.01; 0.05; max; 3; same; relu; l2; adam
22;2021-02-03 15:54:10;12;0.1599999964237213;7717;(8, 8, 8, 8); 8; 0.01; 0.1; max; 3; same; relu; l2; adam
23;2021-02-03 15:55:45;6;0.13466346263885498;7717;(8, 8, 8, 8); 8; 0.01; 0.2; max; 3; same; relu; l2; adam
24;2021-02-03 15:59:20;6;0.07692307978868484;7717;(8, 8, 8, 8); 8; 0.01; 0.5; max; 3; same; relu; l2; adam
25;2021-02-03 16:03:05;14;0.16865384578704834;7717;(8, 8, 8, 8); 8; 0.005; 0.05; max; 3; same; relu; l2; adam
26;2021-02-03 16:04:41;6;0.1586538404226303;7717;(8, 8, 8, 8); 8; 0.005; 0.1; max; 3; same; relu; l2; adam
27;2021-02-03 16:58:43;6;0.15302884578704834;7717;(8, 8, 8, 8); 8; 0.005; 0.2; max; 3; same; relu; l2; adam
28;2021-02-03 21:07:15;12;0.15990383923053741;7717;(8, 8, 8, 8); 8; 0.005; 0.5; max; 3; same; relu; l2; adam
29;2021-02-03 23:18:47;8;0.5443750023841858;7717;(8, 8, 8, 8); 8; 0.001; 0.05; max; 3; same; relu; l2; adam
30;2021-02-04 03:13:46;17;0.3041346073150635;7717;(8, 8, 8, 8); 8; 0.001; 0.1; max; 3; same; relu; l2; adam
31;2021-02-04 07:32:10;13;0.2173076868057251;7717;(8, 8, 8, 8); 8; 0.001; 0.2; max; 3; same; relu; l2; adam
32;2021-02-04 07:37:01;18;0.23259615898132324;7717;(8, 8, 8, 8); 8; 0.001; 0.5; max; 3; same; relu; l2; adam
33;2021-02-04 07:38:39;6;0.4631730914115906;7717;(8, 8, 8, 8); 8; 0.0005; 0.05; max; 3; same; relu; l2; adam
34;2021-02-04 07:42:26;14;0.20951923727989197;7717;(8, 8, 8, 8); 8; 0.0005; 0.1; max; 3; same; relu; l2; adam
35;2021-02-04 07:45:20;11;0.18370191752910614;7717;(8, 8, 8, 8); 8; 0.0005; 0.2; max; 3; same; relu; l2; adam
36;2021-02-04 14:21:08;21;0.16312499344348907;7717;(8, 8, 8, 8); 8; 0.0005; 0.5; max; 3; same; relu; l2; adam
37;2021-02-04 15:40:40;14;0.5911057591438293;7717;(8, 8, 8, 8); 8; 0.0001; 0.05; max; 3; same; relu; l2; adam
38;2021-02-04 17:39:09;9;0.5249519348144531;7717;(8, 8, 8, 8); 8; 0.0001; 0.1; max; 3; same; relu; l2; adam
39;2021-02-04 17:41:00;7;0.40677884221076965;7717;(8, 8, 8, 8); 8; 0.0001; 0.2; max; 3; same; relu; l2; adam
40;2021-02-04 21:22:18;8;0.24403846263885498;7717;(8, 8, 8, 8); 8; 0.0001; 0.5; max; 3; same; relu; l2; adam
41;2021-02-04 22:24:20;6;0.07692307978868484;30397;(16, 16, 16, 16); 16; 0.01; 0.05; max; 3; same; relu; l2; adam
42;2021-02-05 01:43:46;8;0.15033653378486633;30397;(16, 16, 16, 16); 16; 0.01; 0.1; max; 3; same; relu; l2; adam
43;2021-02-05 06:12:37;6;0.07692307978868484;30397;(16, 16, 16, 16); 16; 0.01; 0.2; max; 3; same; relu; l2; adam
44;2021-02-05 06:29:50;6;0.07692307978868484;30397;(16, 16, 16, 16); 16; 0.01; 0.5; max; 3; same; relu; l2; adam
45;2021-02-05 08:43:14;6;0.5881249904632568;30397;(16, 16, 16, 16); 16; 0.005; 0.05; max; 3; same; relu; l2; adam
46;2021-02-05 09:16:23;6;0.07692307978868484;30397;(16, 16, 16, 16); 16; 0.005; 0.1; max; 3; same; relu; l2; adam
47;2021-02-05 13:14:14;13;0.2189423143863678;30397;(16, 16, 16, 16); 16; 0.005; 0.2; max; 3; same; relu; l2; adam
48;2021-02-05 17:02:58;11;0.15096153318881989;30397;(16, 16, 16, 16); 16; 0.005; 0.5; max; 3; same; relu; l2; adam
49;2021-02-05 23:29:45;6;0.40379807353019714;30397;(16, 16, 16, 16); 16; 0.001; 0.05; max; 3; same; relu; l2; adam
50;2021-02-06 00:59:24;6;0.4901442229747772;30397;(16, 16, 16, 16); 16; 0.001; 0.1; max; 3; same; relu; l2; adam
51;2021-02-06 10:05:31;8;0.22355769574642181;30397;(16, 16, 16, 16); 16; 0.001; 0.2; max; 3; same; relu; l2; adam
52;2021-02-06 20:27:26;8;0.16913461685180664;30397;(16, 16, 16, 16); 16; 0.001; 0.5; max; 3; same; relu; l2; adam
53;2021-02-07 05:48:30;11;0.6527884602546692;30397;(16, 16, 16, 16); 16; 0.0005; 0.05; max; 3; same; relu; l2; adam
54;2021-02-07 10:08:44;7;0.4547596275806427;30397;(16, 16, 16, 16); 16; 0.0005; 0.1; max; 3; same; relu; l2; adam
55;2021-02-07 16:13:44;8;0.2223076969385147;30397;(16, 16, 16, 16); 16; 0.0005; 0.2; max; 3; same; relu; l2; adam
56;2021-02-07 16:28:22;6;0.16687500476837158;30397;(16, 16, 16, 16); 16; 0.0005; 0.5; max; 3; same; relu; l2; adam
57;2021-02-08 05:37:16;11;0.5958653688430786;30397;(16, 16, 16, 16); 16; 0.0001; 0.05; max; 3; same; relu; l2; adam
58;2021-02-08 19:55:55;9;0.5688461661338806;30397;(16, 16, 16, 16); 16; 0.0001; 0.1; max; 3; same; relu; l2; adam
59;2021-02-09 05:15:53;8;0.49620193243026733;30397;(16, 16, 16, 16); 16; 0.0001; 0.2; max; 3; same; relu; l2; adam
60;2021-02-09 07:33:26;7;0.24201923608779907;30397;(16, 16, 16, 16); 16; 0.0001; 0.5; max; 3; same; relu; l2; adam
61;2021-02-09 19:58:26;6;0.07692307978868484;120685;(32, 32, 32, 32); 32; 0.01; 0.05; max; 3; same; relu; l2; adam
62;2021-02-10 08:03:35;6;0.2015865445137024;120685;(32, 32, 32, 32); 32; 0.01; 0.1; max; 3; same; relu; l2; adam
63;2021-02-10 18:39:47;6;0.1440865397453308;120685;(32, 32, 32, 32); 32; 0.01; 0.2; max; 3; same; relu; l2; adam
64;2021-02-11 04:55:05;6;0.07692307978868484;120685;(32, 32, 32, 32); 32; 0.01; 0.5; max; 3; same; relu; l2; adam
65;2021-02-11 04:59:42;6;0.07692307978868484;120685;(32, 32, 32, 32); 32; 0.005; 0.05; max; 3; same; relu; l2; adam
66;2021-02-11 05:04:25;6;0.07692307978868484;120685;(32, 32, 32, 32); 32; 0.005; 0.1; max; 3; same; relu; l2; adam
67;2021-02-11 09:08:14;8;0.24197115004062653;120685;(32, 32, 32, 32); 32; 0.005; 0.2; max; 3; same; relu; l2; adam
68;2021-02-11 09:18:14;13;0.1526923030614853;120685;(32, 32, 32, 32); 32; 0.005; 0.5; max; 3; same; relu; l2; adam
69;2021-02-11 09:30:00;15;0.8813461661338806;120685;(32, 32, 32, 32); 32; 0.001; 0.05; max; 3; same; relu; l2; adam
70;2021-02-11 09:40:31;6;0.5783653855323792;120685;(32, 32, 32, 32); 32; 0.001; 0.1; max; 3; same; relu; l2; adam
71;2021-02-11 10:08:16;13;0.3031249940395355;120685;(32, 32, 32, 32); 32; 0.001; 0.2; max; 3; same; relu; l2; adam
72;2021-02-11 10:19:42;15;0.2566346228122711;120685;(32, 32, 32, 32); 32; 0.001; 0.5; max; 3; same; relu; l2; adam
73;2021-02-11 10:41:49;28;0.8542788624763489;120685;(32, 32, 32, 32); 32; 0.0005; 0.05; max; 3; same; relu; l2; adam
74;2021-02-11 10:49:02;9;0.6667307615280151;120685;(32, 32, 32, 32); 32; 0.0005; 0.1; max; 3; same; relu; l2; adam
75;2021-02-11 10:53:52;6;0.38374999165534973;120685;(32, 32, 32, 32); 32; 0.0005; 0.2; max; 3; same; relu; l2; adam
76;2021-02-11 11:03:00;12;0.330240398645401;120685;(32, 32, 32, 32); 32; 0.0005; 0.5; max; 3; same; relu; l2; adam
77;2021-02-11 11:33:53;20;0.7149999737739563;120685;(32, 32, 32, 32); 32; 0.0001; 0.05; max; 3; same; relu; l2; adam
78;2021-02-11 11:39:16;7;0.5646153688430786;120685;(32, 32, 32, 32); 32; 0.0001; 0.1; max; 3; same; relu; l2; adam
79;2021-02-11 11:44:37;7;0.48557692766189575;120685;(32, 32, 32, 32); 32; 0.0001; 0.2; max; 3; same; relu; l2; adam
80;2021-02-11 11:50:39;8;0.2557692229747772;120685;(32, 32, 32, 32); 32; 0.0001; 0.5; max; 3; same; relu; l2; adam
81;2021-02-11 12:01:33;6;0.07692307978868484;480973;(64, 64, 64, 64); 64; 0.01; 0.05; max; 3; same; relu; l2; adam
82;2021-02-11 12:12:30;6;0.5655769109725952;480973;(64, 64, 64, 64); 64; 0.01; 0.1; max; 3; same; relu; l2; adam
83;2021-02-11 12:41:04;6;0.07692307978868484;480973;(64, 64, 64, 64); 64; 0.01; 0.2; max; 3; same; relu; l2; adam
84;2021-02-11 15:08:47;12;0.5570192337036133;480973;(64, 64, 64, 64); 64; 0.01; 0.5; max; 3; same; relu; l2; adam
85;2021-02-11 16:34:03;9;0.880961537361145;480973;(64, 64, 64, 64); 64; 0.005; 0.05; max; 3; same; relu; l2; adam
86;2021-02-11 18:41:12;6;0.6820192337036133;480973;(64, 64, 64, 64); 64; 0.005; 0.1; max; 3; same; relu; l2; adam
